Event,Type,Begin Date,End Date,Summary,CPI-AUnadjusted  Estimated Cost (in Billions),Deaths
Central and Eastern Winter StormJanuary 1999,Winter Storm,"January 1, 1999","January 4, 1999","South, Southeast, Midwest, Northeast affected by damaging winter storm",$2.0 CI,25
Texas FloodingOctober 1998,Flooding,"October 16, 1998","October 24, 1998","Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",$1.8* CI,31
Southern Drought and Heat WaveSummer 1998,Drought,"June 1, 1998","August 31, 1998","Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",$6.9 CI,200
Tropical Storm FrancesSeptember 1998,Tropical Cyclone,"August 8, 1998","August 13, 1998",Tropical Storm Frances caused extensive flooding in Texas and Louisiana. The rainfall totals from Frances were 10 to 20 inches across eastern Texas into southern Louisiana.,$1.4* CI,2
Western/Eastern Severe Weather and FloodingWinter-Spring 1998,Severe Storm,"December 1, 1997","February 28, 1998","Tornadoes and flooding cause damage across the West and Southeast. The states impacted include CA, TX, FL, AL, GA, LA, MS, NC and SC.",$2.0 CI,132
Mississippi and Ohio Valley Severe Weather and FloodingMarch 1997,Severe Storm,"February 28, 1997","March 5, 1997","Tornadoes and severe flooding hit the states of AR, MO, MS, TN, IL, IN, KY, OH, and WV, with over 10 inches of rain in 24 hours in Louisville.",$1.9 CI,67
Southern Plains DroughtSpring-Summer 1996,Drought,"March 1, 1996","August 31, 1996",Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,$3.7 CI,0
Blizzard/FloodsJanuary 1996,Winter Storm,"January 1, 1996","January 31, 1996","Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",$6.1 CI,187
"Central, Southern and Northeast Drought/Heat WaveSeptember 1995",Drought,"July 1, 1995","September 30, 1995","Historic mid-July heat wave and urban heat island amplification caused hundreds of deaths across several major cities including Chicago, Milwaukee, and Philadelphia. Following the heat wave was hot, dry weather in July and August 1995 that affected crops in numerous states, as crops had not rooted well due to late planting from previous wet soils. This left crops vulnerable to a flash drought during a key portion of the growing season.",$2.0 CI,872
South Plains Severe WeatherMay 1995,Severe Storm,"May 5, 1995","May 7, 1995","Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",$11.4 CI,32
Texas Hail StormApril 1995,Severe Storm,"April 28, 1995","April 28, 1995","Texas hail storms cause considerable impacts to many homes, vehicles and crops. These hail impacts were focused from Waco to Fort Worth.",$1.2* CI,0
Western Fire SeasonSummer-Fall 1994,Wildfire,"June 1, 1994","November 30, 1994","Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",$1.5* CI,0
Texas FloodingOctober 1994,Flooding,"October 16, 1994","October 25, 1994",Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,$2.1 CI,19
Midwest/Plains TornadoesApril 1994,Severe Storm,"April 25, 1994","April 27, 1994","Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",$2.1 CI,3
Southeast Ice StormFebruary 1994,Winter Storm,"February 8, 1994","February 13, 1994","Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",$6.4 CI,9
East Coast Blizzard and Severe WeatherMarch 1993,Winter Storm,"March 11, 1993","March 14, 1993","The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This was the most destructive and costly winter storm to affect the United States (since 1980), until it was surpassed by the February 2021 winter storm and cold wave.",$12.2 CI,270
Southeast Severe WeatherNovember 1992,Severe Storm,"November 21, 1992","November 23, 1992","Three-day tornado outbreak strikes many Central and Eastern states including TX, LA, AL, MS, GA, AR, IN, OH, KY, TN, and NC. Major damage was reported across many areas, as more than 100 tornadoes were reported. This event remains one of the most prolific Fall season tornado outbreaks on record.",$1.5* CI,26
"Hail, TornadoesApril 1992",Severe Storm,"April 28, 1992","April 29, 1992",Severe Storms hit Oklahoma and Texas with tornadoes and hail,$2.2 CI,0
Severe StormsMarch 1992,Severe Storm,"March 24, 1992","March 25, 1992","Severe storms affect the South, Southeast. The states most impacted include Texas, Louisiana and Florida.",$1.8* CI,0
Southern FloodingMay 1990,Flooding,"May 11, 1990","May 19, 1990","Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$2.5 CI,13
"Winter Storm, Cold WaveDecember 1989",Winter Storm,"December 21, 1989","December 26, 1989","Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",$1.7* CI,100
Northern Plains DroughtSummer-Fall 1989,Drought,"June 1, 1989","November 30, 1989","Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",$7.8 CI,0
Tropical Storm AllisonJune 1989,Tropical Cyclone,"June 26, 1989","June 28, 1989",Flooding from Tropical Storm Allison (1989) impacted Texas and Louisiana for days as Allison tracked inland. Most all of the damage was from flooding due to heavy rainfall with 20-25 inches in some locations. The slow progression of Allison also contributed to the increased rainfall totals.,$1.5* CI,11
Southern Derecho and Severe StormsMay 1989,Severe Storm,"May 1, 1989","May 6, 1989","A derecho caused high wind damage across much of Texas into Louisiana. Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",$1.4* CI,21
U.S. Drought/Heat WaveSummer 1988,Drought,"June 1, 1988","August 31, 1988","1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",$54.6 CI,454
"Winter Storm, Cold WaveJanuary 1985",Winter Storm,"January 19, 1985","January 22, 1985","Extreme cold and winter storms in the Southeast, South, Southwest, Northeast, Midwest, and North",$2.5* CI,150
Freeze/Cold WaveDecember 1983,Freeze,"December 15, 1983","December 25, 1983",Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$6.5 CI,151
Hurricane AliciaAugust 1983,Tropical Cyclone,"August 17, 1983","August 20, 1983","Category 3 hurricane makes landfall near Galveston, Texas with maximum sustained winds 115 mph. Hurricane Alicia was the first hurricane to hit the United States mainland since Hurricane Allen in August 1980.",$9.5 CI,21
Severe StormsJune 1982,Severe Storm,"May 31, 1982","June 10, 1982","Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",$1.6* CI,30
Midwest/Plains/Southeast TornadoesApril 1982,Severe Storm,"April 2, 1982","April 4, 1982","Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",$1.6* CI,33
"Midwest/Southeast/Northeast Winter Storm, Cold WaveJanuary 1982",Winter Storm,"January 8, 1982","January 16, 1982","Winter storm and cold wave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",$2.2* CI,85
"Severe Storms, Flash Floods, Hail, TornadoesMay 1981",Severe Storm,"May 5, 1981","May 10, 1981","Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",$1.4* CI,20
Central/Eastern Drought/Heat WaveSummer-Fall 1980,Drought,"June 1, 1980","November 30, 1980","Central and eastern U.S. drought/heat wave caused damage to agriculture and other related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 10,000.",$40.7 CI,1260
Hurricane AllenAugust 1980,Tropical Cyclone,"August 7, 1980","August 11, 1980","Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",$2.2* CI,13
